xk,beta_k1,pk1,erro,f(min),gk1,pk,xk1,gk
[-0.97387782  1.45504218],0.8227491992382321,[-0.20522454  0.40457626],0.0050256123638994996,-1.2489628503798964,[ 0.01457308 -0.03767128],[-0.20522454  0.40457626],[-0.97387782  1.45504218],[ 0.01457308 -0.03767128]
[-0.97593007  1.45908794],0.8235326106802328,[-0.18346472  0.36686599],0.004536508158832461,-1.249136981150238,[ 0.01445562 -0.03368425],[-0.18346472  0.36686599],[-0.97593007  1.45908794],[ 0.01445562 -0.03368425]
[-0.97776471  1.4627566 ],0.8260696991688835,[-0.166009   0.3330731],0.004101828370801144,-1.249280348628203,[ 0.01445435 -0.03001622],[-0.166009   0.3330731],[-0.97776471  1.4627566 ],[ 0.01445435 -0.03001622]
[-0.9794248   1.46608733],0.8298852539083458,[-0.15224388  0.30308739],0.003721514184874292,-1.249398773172552,[ 0.01447546 -0.02667494],[-0.15224388  0.30308739],[-0.9794248   1.46608733],[ 0.01447546 -0.02667494]
[-0.98094724  1.46911821],0.8342637435015632,[-0.141459    0.27651289],0.003391757153253142,-1.24949706634707,[ 0.01444745 -0.02365807],[-0.141459    0.27651289],[-0.98094724  1.46911821],[ 0.01444745 -0.02365807]
[-0.98236183  1.47188334],0.8383803954598229,[-0.1329158   0.25277998],0.0031059624342270054,-1.2495790961510584,[ 0.01431935 -0.02095699],[-0.1329158   0.25277998],[-0.98236183  1.47188334],[ 0.01431935 -0.02095699]
[-0.98369099  1.47441114],0.8414560511981777,[-0.12590112  0.23126295],0.0028559468765548086,-1.2496479004969192,[ 0.01405831 -0.01855971],[-0.12590112  0.23126295],[-0.98369099  1.47441114],[ 0.01405831 -0.01855971]
[-0.98495     1.47672377],0.8429067049792912,[-0.11977042  0.21138556],0.0026331282144129247,-1.2497058265757364,[ 0.01364753 -0.01645247],[-0.11977042  0.21138556],[-0.98495     1.47672377],[ 0.01364753 -0.01645247]
[-0.9861477   1.47883762],0.8424572567474126,[-0.11398589  0.19270346],0.002429584511697859,-1.2497546765957939,[ 0.01308442 -0.01462017],[-0.11398589  0.19270346],[-0.9861477   1.47883762],[ 0.01308442 -0.01462017]
[-0.98728756  1.48076466],0.8401952612159299,[-0.10814946  0.17495435],0.0022389150890389604,-1.2497958456363976,[ 0.01237906 -0.01304582],[-0.10814946  0.17495435],[-0.98728756  1.48076466],[ 0.01237906 -0.01304582]
[-0.98836906  1.4825142 ],0.8365531236634721,[-0.10202493  0.15806833],0.0020568259849458874,-1.2498304418220458,[ 0.01155217 -0.01170972],[-0.10202493  0.15806833],[-0.98836906  1.4825142 ],[ 0.01155217 -0.01170972]
[-0.98938931  1.48409488],0.832222795835096,[-0.09554001  0.14213692],0.0018813474851364013,-1.2498593822716404,[ 0.01063253 -0.01058885],[-0.09554001  0.14213692],[-0.98938931  1.48409488],[ 0.01063253 -0.01058885]
[-0.99034471  1.48551625],0.8280214249991508,[-0.08876285  0.12734932],0.0017126236174531463,-1.2498834613447367,[ 0.00965367 -0.00965691],[-0.08876285  0.12734932],[-0.99034471  1.48551625],[ 0.00965367 -0.00965691]
[-0.99123234  1.48678975],0.8247359602736292,[-0.08185606  0.11391475],0.001552310970652451,-1.2499033914555708,[ 0.00865015 -0.00888518],[-0.08185606  0.11391475],[-0.99123234  1.48678975],[ 0.00865015 -0.00888518]
[-0.9920509   1.48792889],0.8229772100742335,[-0.07501987  0.10199325],0.0014027467458501792,-1.2499198208392626,[ 0.0076542  -0.00824401],[-0.07501987  0.10199325],[-0.9920509   1.48792889],[ 0.0076542  -0.00824401]
[-0.9928011   1.48894883],0.8230694710181221,[-0.06843983  0.09165207],0.0012661202105214335,-1.2499333357863365,[ 0.00669327 -0.00770454],[-0.06843983  0.09165207],[-0.9928011   1.48894883],[ 0.00669327 -0.00770454]
[-0.99348549  1.48986535],0.8249932612508564,[-0.06225112  0.08285264],0.0011438580694094814,-1.249944455737276,[ 0.00578872 -0.0072403 ],[-0.06225112  0.08285264],[-0.99348549  1.48986535],[ 0.00578872 -0.0072403 ]
[-0.994108    1.49069387],0.8283892135179587,[-0.05652388  0.0754625 ],0.001036328184126069,-1.2499536280916712,[ 0.00495572 -0.00682827],[-0.05652388  0.0754625 ],[-0.994108    1.49069387],[ 0.00495572 -0.00682827]
