x,direcao_descida,erro,f(min),x_anterior
[-0.61281215  0.87376934],[-0.29651926  0.47844948],0.000562883267716586,-1.042944105547067,[-0.61281215  0.87376934]
[-0.61310844  0.87424743],[-0.29629008  0.47808562],0.00056245325929485,-1.0432603383785297,[-0.61310844  0.87424743]
[-0.6134045   0.87472515],[-0.29606109  0.47772203],0.0005620235794078518,-1.0435760882294751,[-0.6134045   0.87472515]
[-0.61370033  0.87520251],[-0.29583229  0.4773587 ],0.0005615942278042788,-1.0438913558375953,[-0.61370033  0.87520251]
[-0.61399594  0.8756795 ],[-0.29560368  0.47699565],0.0005611652042327498,-1.0442061419394544,[-0.61399594  0.8756795 ]
[-0.61429131  0.87615614],[-0.29537526  0.47663287],0.0005607365084425662,-1.0445204472704912,[-0.61429131  0.87615614]
[-0.61458646  0.87663241],[-0.29514702  0.47627035],0.0005603081401828434,-1.0448342725650213,[-0.61458646  0.87663241]
[-0.61488138  0.87710832],[-0.29491897  0.4759081 ],0.0005598800992031095,-1.0451476185562383,[-0.61488138  0.87710832]
[-0.61517607  0.87758386],[-0.29469111  0.47554613],0.000559452385252869,-1.045460485976215,[-0.61517607  0.87758386]
[-0.61547053  0.87805905],[-0.29446344  0.47518442],0.0005590249980820295,-1.0457728755559064,[-0.61547053  0.87805905]
[-0.61576477  0.87853387],[-0.29423596  0.47482297],0.0005585979374405919,-1.04608478802515,[-0.61576477  0.87853387]
[-0.61605878  0.87900833],[-0.29400866  0.4744618 ],0.0005581712030788659,-1.0463962241126683,[-0.61605878  0.87900833]
[-0.61635256  0.87948243],[-0.29378155  0.47410089],0.0005577447947470431,-1.0467071845460711,[-0.61635256  0.87948243]
[-0.61664611  0.87995617],[-0.29355462  0.47374026],0.0005573187121959877,-1.0470176700518556,[-0.61664611  0.87995617]
[-0.61693944  0.88042955],[-0.29332789  0.47337988],0.0005568929551763293,-1.04732768135541,[-0.61693944  0.88042955]
[-0.61723254  0.88090257],[-0.29310133  0.47301978],0.000556467523439145,-1.0476372191810133,[-0.61723254  0.88090257]
[-0.61752542  0.88137523],[-0.29287497  0.47265994],0.0005560424167355962,-1.0479462842518381,[-0.61752542  0.88137523]
[-0.61781807  0.88184753],[-0.29264879  0.47230037],0.0005556176348170451,-1.0482548772899523,[-0.61781807  0.88184753]
[-0.61811049  0.88231947],[-0.29242279  0.47194107],0.0005551931774351129,-1.0485629990163212,[-0.61811049  0.88231947]
[-0.61840269  0.88279106],[-0.29219699  0.47158203],0.0005547690443415047,-1.048870650150807,[-0.61840269  0.88279106]
[-0.61869466  0.88326228],[-0.29197136  0.47122326],0.0005543452352881265,-1.0491778314121734,[-0.61869466  0.88326228]
[-0.6189864   0.88373314],[-0.29174592  0.47086476],0.0005539217500273321,-1.0494845435180857,[-0.6189864   0.88373314]
[-0.61927793  0.88420365],[-0.29152067  0.47050652],0.0005534985883112173,-1.049790787185112,[-0.61927793  0.88420365]
[-0.61956922  0.8846738 ],[-0.2912956   0.47014855],0.0005530757498924786,-1.0500965631287271,[-0.61956922  0.8846738 ]
[-0.61986029  0.88514359],[-0.29107071  0.46979084],0.0005526532345238966,-1.0504018720633113,[-0.61986029  0.88514359]
[-0.62015114  0.88561302],[-0.29084601  0.4694334 ],0.0005522310419581686,-1.050706714702154,[-0.62015114  0.88561302]
[-0.62044176  0.8860821 ],[-0.29062149  0.46907623],0.0005518091719486066,-1.0510110917574558,[-0.62044176  0.8860821 ]
[-0.62073216  0.88655082],[-0.29039716  0.46871932],0.0005513876242484396,-1.0513150039403258,[-0.62073216  0.88655082]
[-0.62102233  0.88701918],[-0.29017301  0.46836268],0.000550966398611097,-1.0516184519607918,[-0.62102233  0.88701918]
