x_1	x_2	x_3	x_4	f(x)	erro
-1.7909465191991454	-1.4001899926874906	-2.3714418609558523	-1.6681868808755245	167.71130045389344	12150.991653739242
-1.7898748708467862	-1.4001044171074162	-2.388060959952946	-1.6590669689359614	168.30281933781205	0.5915851520840079
-1.7895130580907381	-1.4000696720099572	-2.3935906869556263	-1.6560231471847535	168.4998482071874	0.197030711453408
-1.789391567033273	-1.400057655929258	-2.3954327656468957	-1.6550082107298363	168.56550443027083	0.06564716622233391
-1.789351162379696	-1.400053496386255	-2.3960463243156203	-1.6546702126817758	168.5873744545347	0.02187545970082283
-1.789338073089033	-1.4000514941293871	-2.396250698016355	-1.654557681029252	168.59465734888556	0.007313713431358337
-1.7893326435120092	-1.4000512305537387	-2.3963201135563654	-1.6545194886079337	168.5971255271557	0.0024736523628234863
-1.78933204690792	-1.4000509633829699	-2.396342151037736	-1.654507118352948	168.59791987393726	0.0007805824279785156
-1.7893315400408039	-1.4000511041570873	-2.3963495484344692	-1.6545031511755748	168.59818377363484	0.0002713203430175781
-1.7893310260548114	-1.400050909344299	-2.396352552141366	-1.654501404129221	168.5982877246612	0.00010395050048828125
-1.789330957334987	-1.4000509733259687	-2.3963533517485054	-1.6545012929361085	168.5983132368043	2.288818359375e-05
-1.789330957334987	-1.4000509733259687	-2.3963533517485054	-1.6545012929361085	168.5983132368043	0.0
