x_1	x_2	f(x)	erro
2.002364477181092	3.002013448002522	-50.04990814571826	33.02496936829544
2.00029047207505	3.0020026466670267	-50.01665649106745	0.033230229621004526
1.9995979367938566	3.001997781395746	-50.005543926691566	0.01111024188070786
1.9993669559949807	3.0019960259632903	-50.00183655557089	0.003707128827187489
1.9992899471608543	3.001995425713251	-50.00060040751521	0.0012361262545397267
1.9992642759948136	3.0019952241078456	-50.00018832156726	0.0004120843573929278
1.9992557187040585	3.001995156774204	-50.00005095473867	0.0001373684336059
1.9992528577857676	3.0019951454778853	-50.00000509669233	4.5790681618029794e-05
1.9992519083886284	3.0019951417308794	-49.999989878683635	1.5128022781141226e-05
1.9992515919156564	3.001995140478812	-49.99998480587913	5.042900248497517e-06
1.9992514864258448	3.00199514006118	-49.999983114961466	1.6809297065378814e-06
1.9992514512626367	3.0019951399219993	-49.99998255132342	5.603076687066277e-07
