x,direcao_descida,erro,f(min),x_anterior
[-0.47381842 -0.04325297],[-0.18226013 -0.07548861],0.00019727464205475956,-0.26006043997965095,[-0.47381842 -0.04325297]
[-0.47400055 -0.04332841],[-0.18212207 -0.07543148],0.00019712523426605613,-0.2600992836227657,[-0.47400055 -0.04332841]
[-0.47418253 -0.04340378],[-0.18198413 -0.07537439],0.00019697593963281587,-0.2601380684509706,[-0.47418253 -0.04340378]
[-0.47436438 -0.0434791 ],[-0.18184628 -0.07531735],0.00019682675806921668,-0.26017679455332005,[-0.47436438 -0.0434791 ]
[-0.47454609 -0.04355436],[-0.18170854 -0.07526035],0.0001966776894897308,-0.2602154620187334,[-0.47454609 -0.04355436]
[-0.47472766 -0.04362956],[-0.1815709  -0.07520339],0.00019652873380873064,-0.2602540709359957,[-0.47472766 -0.04362956]
[-0.47490909 -0.04370471],[-0.18143337 -0.07514648],0.0001963798909407345,-0.26029262139375725,[-0.47490909 -0.04370471]
[-0.47509039 -0.0437798 ],[-0.18129594 -0.07508961],0.00019623116080025798,-0.2603311134805341,[-0.47509039 -0.0437798 ]
[-0.47527154 -0.04385483],[-0.18115862 -0.07503278],0.00019608254330201388,-0.2603695472847086,[-0.47527154 -0.04385483]
[-0.47545257 -0.04392981],[-0.1810214  -0.07497599],0.0001959340383606098,-0.26040792289452896,[-0.47545257 -0.04392981]
[-0.47563345 -0.04400473],[-0.18088429 -0.07491925],0.0001957856458908046,-0.26044624039810993,[-0.47563345 -0.04400473]
[-0.4758142  -0.04407959],[-0.18074728 -0.07486255],0.0001956373658074596,-0.2604844998834327,[-0.4758142  -0.04407959]
[-0.47599481 -0.04415439],[-0.18061037 -0.07480589],0.00019548919802542028,-0.2605227014383454,[-0.47599481 -0.04415439]
[-0.47617528 -0.04422914],[-0.18047357 -0.07474927],0.0001953411424596426,-0.2605608451505631,[-0.47617528 -0.04422914]
[-0.47635562 -0.04430384],[-0.18033687 -0.0746927 ],0.00019519319902517725,-0.260598931107668,[-0.47635562 -0.04430384]
[-0.47653582 -0.04437847],[-0.18020027 -0.07463617],0.0001950453676370721,-0.26063695939710974,[-0.47653582 -0.04437847]
[-0.47671588 -0.04445305],[-0.18006378 -0.07457968],0.0001948976482104185,-0.26067493010620557,[-0.47671588 -0.04445305]
[-0.47689581 -0.04452757],[-0.17992739 -0.07452323],0.0001947500406605155,-0.2607128433221404,[-0.47689581 -0.04452757]
[-0.4770756  -0.04460204],[-0.17979111 -0.07446683],0.000194602544902557,-0.26075069913196725,[-0.4770756  -0.04460204]
[-0.47725526 -0.04467645],[-0.17965492 -0.07441047],0.00019445516085193142,-0.26078849762260736,[-0.47725526 -0.04467645]
[-0.47743477 -0.04475081],[-0.17951885 -0.07435415],0.0001943078884239811,-0.26082623888085027,[-0.47743477 -0.04475081]
[-0.47761416 -0.0448251 ],[-0.17938287 -0.07429787],0.00019416072753419445,-0.26086392299335415,[-0.47761416 -0.0448251 ]
[-0.4777934  -0.04489935],[-0.179247   -0.07424164],0.0001940136780980571,-0.2609015500466459,[-0.4777934  -0.04489935]
[-0.47797252 -0.04497353],[-0.17911123 -0.07418545],0.00019386674003126517,-0.26093912012712145,[-0.47797252 -0.04497353]
[-0.47815149 -0.04504766],[-0.17897556 -0.0741293 ],0.00019371991324934504,-0.260976633321046,[-0.47815149 -0.04504766]
[-0.47833033 -0.04512173],[-0.17884    -0.07407319],0.00019357319766808744,-0.2610140897145538,[-0.47833033 -0.04512173]
[-0.47850904 -0.04519575],[-0.17870454 -0.07401712],0.00019342659320327785,-0.2610514893936493,[-0.47850904 -0.04519575]
[-0.4786876  -0.04526971],[-0.17856918 -0.0739611 ],0.00019328009977069902,-0.26108883244420605,[-0.4786876  -0.04526971]
[-0.47886604 -0.04534362],[-0.17843393 -0.07390512],0.00019313371728633358,-0.2611261189519681,[-0.47886604 -0.04534362]
[-0.47904434 -0.04541747],[-0.17829877 -0.07384918],0.00019298744566611823,-0.26116334900254917,[-0.47904434 -0.04541747]
[-0.4792225  -0.04549126],[-0.17816372 -0.07379328],0.00019284128482608418,-0.2612005226814339,[-0.4792225  -0.04549126]
[-0.47940053 -0.045565  ],[-0.17802878 -0.07373743],0.00019269523468236528,-0.2612376400739771,[-0.47940053 -0.045565  ]
[-0.47957842 -0.04563868],[-0.17789393 -0.07368161],0.00019254929515104152,-0.2612747012654044,[-0.47957842 -0.04563868]
[-0.47975618 -0.0457123 ],[-0.17775919 -0.07362584],0.00019240346614845177,-0.2613117063408125,[-0.47975618 -0.0457123 ]
[-0.47993381 -0.04578587],[-0.17762455 -0.07357011],0.00019225774759077332,-0.26134865538516927,[-0.47993381 -0.04578587]
[-0.4801113  -0.04585939],[-0.17749001 -0.07351443],0.00019211213939444237,-0.26138554848331375,[-0.4801113  -0.04585939]
[-0.48028865 -0.04593285],[-0.17735557 -0.07345878],0.00019196664147584392,-0.2614223857199567,[-0.48028865 -0.04593285]
[-0.48046587 -0.04600625],[-0.17722124 -0.07340318],0.00019182125375145757,-0.2614591671796805,[-0.48046587 -0.04600625]
[-0.48064296 -0.0460796 ],[-0.177087   -0.07334762],0.00019167597613786814,-0.26149589294693953,[-0.48064296 -0.0460796 ]
[-0.48081991 -0.04615289],[-0.17695287 -0.0732921 ],0.00019153080855161447,-0.26153256310606027,[-0.48081991 -0.04615289]
[-0.48099673 -0.04622613],[-0.17681884 -0.07323662],0.00019138575090937602,-0.26156917774124133,[-0.48099673 -0.04622613]
[-0.48117342 -0.04629931],[-0.17668492 -0.07318118],0.00019124080312794543,-0.26160573693655426,[-0.48117342 -0.04629931]
[-0.48134997 -0.04637243],[-0.17655109 -0.07312579],0.0001910959651240534,-0.26164224077594295,[-0.48134997 -0.04637243]
[-0.48152639 -0.0464455 ],[-0.17641737 -0.07307043],0.00019095123681459245,-0.2616786893432244,[-0.48152639 -0.0464455 ]
[-0.48170267 -0.04651852],[-0.17628374 -0.07301512],0.0001908066181164473,-0.26171508272208843,[-0.48170267 -0.04651852]
[-0.48187882 -0.04659148],[-0.17615022 -0.07295985],0.00019066210894665896,-0.2617514209960984,[-0.48187882 -0.04659148]
