xk,yk,erro,rho_k,direcao_descida_1,direcao_descida_2,f(min),Hk1,sk,Hk,direcao_descida_1_1,xk1
[-0.65911659 -0.12100289],[-0.00447755 -0.00093267],0.005934004126258443,37396.439203892915,[0.04477548 0.00932667],[-0.05516912 -0.02185426],-0.28437726002241737,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.00551691 -0.00218543],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.04029793 0.00839401],[-0.6646335  -0.12318831]
[-0.6646335  -0.12318831],[-0.00402979 -0.0008394 ],0.005340603713632488,46168.44346159774,[0.04029793 0.00839401],[-0.04965221 -0.01966883],-0.2846312949038724,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.00496522 -0.00196688],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.03626814 0.00755461],[-0.66959873 -0.1251552 ]
[-0.66959873 -0.1251552 ],[-0.00362681 -0.00075546],0.0048065433422691765,56998.07834765312,[0.03626814 0.00755461],[-0.04468699 -0.01770195],-0.28483706315785084,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.0044687  -0.00177019],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.03264132 0.00679915],[-0.67406742 -0.12692539]
[-0.67406742 -0.12692539],[-0.00326413 -0.00067991],0.004325889008042326,70367.9979600636,[0.03264132 0.00679915],[-0.04021829 -0.01593175],-0.2850037354435735,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.00402183 -0.00159318],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.02937719 0.00611923],[-0.67808925 -0.12851857]
[-0.67808925 -0.12851857],[-0.00293772 -0.00061192],0.003893300107238112,86874.07155563713,[0.02937719 0.00611923],[-0.03619646 -0.01433858],-0.2851387399950089,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.00361965 -0.00143386],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.02643947 0.00550731],[-0.6817089  -0.12995242]
[-0.6817089  -0.12995242],[-0.00264395 -0.00055073],0.0035039700965144955,107251.94019212012,[0.02643947 0.00550731],[-0.03257681 -0.01290472],-0.2852480936816715,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.00325768 -0.00129047],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.02379553 0.00495658],[-0.68496658 -0.1312429 ]
[-0.68496658 -0.1312429 ],[-0.00237955 -0.00049566],0.0031535730868625707,132409.80270637432,[0.02379553 0.00495658],[-0.02931913 -0.01161425],-0.2853366701678682,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.00293191 -0.00116142],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.02141597 0.00446092],[-0.68789849 -0.13240432]
[-0.68789849 -0.13240432],[-0.0021416  -0.00044609],0.0028382157781766757,163468.8922300553,[0.02141597 0.00446092],[-0.02638722 -0.01045282],-0.2854084171216874,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.00263872 -0.00104528],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.01927438 0.00401483],[-0.69053722 -0.1334496 ]
[-0.69053722 -0.1334496 ],[-0.00192744 -0.00040148],0.0025543942003590503,201813.44719758764,[0.01927438 0.00401483],[-0.0237485  -0.00940754],-0.28546653215428114,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.00237485 -0.00094075],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.01734694 0.00361334],[-0.69291207 -0.13439036]
[-0.69291207 -0.13439036],[-0.00173469 -0.00036133],0.0022989547803230967,249152.40394761742,[0.01734694 0.00361334],[-0.02137365 -0.00846679],-0.28551360533068204,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.00213736 -0.00084668],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.01561224 0.00325201],[-0.69504943 -0.13523704]
[-0.69504943 -0.13523704],[-0.00156122 -0.0003252 ],0.002069059302290532,307595.56042927835,[0.01561224 0.00325201],[-0.01923628 -0.00762011],-0.28555173460356664,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.00192363 -0.00076201],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.01405102 0.00292681],[-0.69697306 -0.13599905]
[-0.69697306 -0.13599905],[-0.0014051  -0.00029268],0.0018621533720617751,379747.6054680916,[0.01405102 0.00292681],[-0.01731266 -0.0068581 ],-0.2855826193146034,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.00173127 -0.00068581],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.01264592 0.00263413],[-0.69870432 -0.13668486]
[-0.69870432 -0.13668486],[-0.00126459 -0.00026341],0.0016759380348553895,468824.2042817449,[0.01264592 0.00263413],[-0.01558139 -0.00617229],-0.28560763593054295,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.00155814 -0.00061723],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.01138133 0.00237072],[-0.70026246 -0.13730208]
[-0.70026246 -0.13730208],[-0.00113813 -0.00023707],0.001508344231370003,578795.3139280033,[0.01138133 0.00237072],[-0.01402325 -0.00555506],-0.2856278993894541,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.00140233 -0.00055551],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.01024319 0.00213364],[-0.70166479 -0.13785759]
[-0.70166479 -0.13785759],[-0.00102432 -0.00021336],0.0013575098082331542,714562.1159601988,[0.01024319 0.00213364],[-0.01262093 -0.00499955],-0.28564431279117214,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.00126209 -0.00049996],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.00921887 0.00192028],[-0.70292688 -0.13835755]
[-0.70292688 -0.13835755],[-0.00092189 -0.00019203],0.0012217588274095338,882175.4518030644,[0.00921887 0.00192028],[-0.01135883 -0.0044996 ],-0.2856576076465637,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.00113588 -0.00044996],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.00829699 0.00172825],[-0.70406276 -0.13880751]
[-0.70406276 -0.13880751],[-0.0008297  -0.00017283],0.001099582944668461,1089105.4960537313,[0.00829699 0.00172825],[-0.01022295 -0.00404964],-0.28566837647943083,"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[-0.00102229 -0.00040496],"[[1.14283448 0.42868025]
 [0.42868025 0.28519187]]",[0.00746729 0.00155543],[-0.70508506 -0.13921247]
