x_1	x_2	f(x)	erro
-1.1025385658516254	-0.7933858803450512	118.3830865300898	145.83311269535625
-1.2760705718647385	-0.9226305248660588	124.43940399832046	9.083518688665208
-1.3360418693783818	-0.9514372310380423	126.4752327131128	1.544524843833642
-1.3528493668959198	-0.957978722552285	127.03994264753346	0.27396743595818407
-1.3565716023544094	-0.9593296281192281	127.16438828827688	0.04977855531251407
-1.3573076471988628	-0.9595894677085047	127.18741121393879	0.00908416225865949
-1.357606959337057	-0.9596328391788329	127.18613731983369	0.0016585686862526927
-1.3580889357355195	-0.9595755537272393	127.17265598028864	0.0002858245607058052
-1.3580953656883679	-0.9595793500526161	127.1728769051648	4.167763836449012e-05
-1.358095549205584	-0.959579537603784	127.1728795267846	2.94373239739798e-05
-1.3580955802413488	-0.9595795693124695	127.17287997059948	4.932997399009764e-06
-1.3580955851462704	-0.9595795743238718	127.17288004065074	6.67121639708057e-07
