k,a,b,y,f(y),z,f(z),erro,min
0,0.0,10.0,3.819660112501051,2.21464581285693,6.180339887498949,29.4565423845624,10.0,5.0
1,0.0,6.180339887498949,2.3606797749978967,-0.401110807611673,3.819660112501051,2.21464581285693,6.180339887498949,3.0901699437494745
2,0.0,3.819660112501051,1.458980337503154,0.11814665169032,2.3606797749978967,-0.401110807611673,3.819660112501051,1.9098300562505255
3,1.458980337503154,3.819660112501051,2.3606797749978967,-0.401110807611673,2.9179606750063085,-0.146629004575058,2.360679774997897,2.6393202250021024
4,1.458980337503154,2.9179606750063085,2.016261237511566,-0.281846864559097,2.3606797749978967,-0.401110807611673,1.4589803375031545,2.188470506254731
5,2.016261237511566,2.9179606750063085,2.3606797749978967,-0.401110807611673,2.5735421375199783,-0.382589157106068,0.9016994374947425,2.4671109562589373
6,2.016261237511566,2.5735421375199783,2.229123600033648,-0.374165713865318,2.3606797749978967,-0.401110807611673,0.5572809000084122,2.294901687515772
7,2.229123600033648,2.5735421375199783,2.3606797749978967,-0.401110807611673,2.44198596255573,-0.403846011059393,0.3444185374863302,2.401332868776813
8,2.3606797749978967,2.5735421375199783,2.44198596255573,-0.403846011059393,2.492235949962145,-0.399649914027497,0.21286236252208157,2.4671109562589377
9,2.3606797749978967,2.492235949962145,2.4109297624043116,-0.404149269186526,2.44198596255573,-0.403846011059393,0.1315561749642482,2.426457862480021
10,2.3606797749978967,2.44198596255573,2.3917359751493152,-0.403493751964167,2.4109297624043116,-0.404149269186526,0.08130618755783336,2.401332868776813
11,2.3917359751493152,2.44198596255573,2.4109297624043116,-0.404149269186526,2.4227921753007338,-0.404234745239687,0.05024998740641484,2.4168609688525224
12,2.4109297624043116,2.44198596255573,2.4227921753007338,-0.404234745239687,2.430123549659308,-0.404163703139384,0.031056200151418523,2.426457862480021
13,2.4109297624043116,2.430123549659308,2.4182611367628857,-0.404231208614359,2.4227921753007338,-0.404234745239687,0.01919378725499632,2.42052665603181
14,2.4182611367628857,2.430123549659308,2.4227921753007338,-0.404234745239687,2.42559251112146,-0.404218839866102,0.011862412896422203,2.4241923432110966
15,2.4182611367628857,2.42559251112146,2.4210614725836117,-0.404237657903263,2.4227921753007338,-0.404234745239687,0.0073313743585741165,2.4219268239421727
16,2.4182611367628857,2.4227921753007338,2.419991839480008,-0.404236821319158,2.4210614725836117,-0.404237657903263,0.004531038537848087,2.42052665603181
17,2.419991839480008,2.4227921753007338,2.4210614725836117,-0.404237657903263,2.4217225421971302,-0.404237168208722,0.0028003358207255857,2.421392007390371
18,2.419991839480008,2.4217225421971302,2.420652909093527,-0.404237575918996,2.4210614725836117,-0.404237657903263,0.0017307027171220568,2.420857190838569
19,2.420652909093527,2.4217225421971302,2.4210614725836117,-0.404237657903263,2.4213139787070457,-0.404237561678288,0.0010696331036030848,2.4211877256453285
20,2.420652909093527,2.4213139787070457,2.4209054152169616,-0.404237661259758,2.4210614725836117,-0.404237657903263,0.0006610696135185279,2.4209834439002864
