x_1	x_2	f(x)	erro
-10.108058478476378	-10.108058959273222	246.77793700394108	659.6600666921232
-2.807896014328375	-2.8078962589660734	29.00014597498574	183.10462476126162
-0.47151803432260964	-0.47151855726650194	4.330732189716365	20.630470778722927
0.2513279992016179	0.2513274245262251	1.1210203900459876	2.655630296152652
0.44716574558531913	0.44716602736433064	0.6112511141543722	0.41775811240898175
0.4899575477700402	0.48995712916832324	0.5202870331629693	0.07436983579185463
0.4981517083856003	0.49815136867472665	0.5037037565593416	0.013555737154047343
0.49966165113728167	0.49966235329224556	0.500676224055725	0.0024748098654533424
0.49993843319424563	0.4999381233176123	0.5001234511073375	0.00045184971712675104
0.4999886750832899	0.4999887910752213	0.5000225340953826	8.248647564745859e-05
0.49999784336201575	0.4999980407945706	0.5000041158519033	1.5055174328537646e-05
0.5000141257325383	0.4999851586003123	0.5000007160869528	2.7481400027840053e-06
0.5000122289542559	0.4999875834137565	0.5000001879357066	4.541583844552832e-07
