a,f(y),b,erro,min,f(z),y,k,z
0.0,3.6393202250021037,1.0,1.0,0.5,2.6950483150029445,0.3819660112501051,0,0.6180339887498949
0.3819660112501051,2.6950483150029445,1.0,0.6180339887498949,0.6909830056250525,2.780193260011777,0.6180339887498949,1,0.7639320225002103
0.3819660112501051,2.8978606800437428,0.7639320225002103,0.3819660112501052,0.5729490168751576,2.6950483150029445,0.5278640450004206,2,0.6180339887498949
0.5278640450004206,2.6950483150029445,0.7639320225002103,0.2360679774997897,0.6458980337503155,2.6672708051383793,0.6180339887498949,3,0.6737620787507361
0.6180339887498949,2.6672708051383793,0.7639320225002103,0.1458980337503154,0.6909830056250525,2.687370800100945,0.6737620787507361,4,0.7082039324993691
0.6180339887498949,2.669083220553519,0.7082039324993691,0.09016994374947418,0.6631189606246319,2.6672708051383793,0.6524758424985279,5,0.6737620787507361
0.6524758424985279,2.6672708051383793,0.7082039324993691,0.055728090000841224,0.6803398874989485,2.671587917055507,0.6737620787507361,6,0.6869176962471609
0.6524758424985279,2.6666795265009053,0.6869176962471609,0.03444185374863307,0.6696967693728444,2.6672708051383793,0.6656314599949527,7,0.6737620787507361
0.6524758424985279,2.6671073797423457,0.6737620787507361,0.021286236252208268,0.6631189606246319,2.6666795265009053,0.6606064612543112,8,0.6656314599949527
0.6606064612543112,2.6666795265009053,0.6737620787507361,0.01315561749642491,0.6671842700025237,2.6667181060036187,0.6656314599949527,9,0.6687370800100946
0.6606064612543112,2.6667714215651,0.6687370800100946,0.008130618755783359,0.664671770632203,2.6666795265009053,0.663712081269453,10,0.6656314599949527
0.663712081269453,2.6666795265009053,0.6687370800100946,0.005024998740641551,0.6662245806397737,2.666666940404136,0.6656314599949527,11,0.6668177012845949
0.6656314599949527,2.666666940404136,0.6687370800100946,0.003105620015141919,0.6671842700025237,2.6666760477893154,0.6668177012845949,12,0.6675508387204523
0.6656314599949527,2.666667761616546,0.6675508387204523,0.001919378725499632,0.6665911493577025,2.666666940404136,0.6663645974308101,13,0.6668177012845949
0.6663645974308101,2.666666940404136,0.6675508387204523,0.001186241289642176,0.6669577180756312,2.6666688965041834,0.6668177012845949,14,0.6670977348666675
0.6663645974308101,2.6666666724935073,0.6670977348666675,0.000733137435857345,0.6667311661487387,2.666666940404136,0.6666446310128826,15,0.6668177012845949
