x,direcao_descida,erro,f(min),x_anterior
[0.16268874 0.31197237],[0.92023432 1.72964012],0.0019592054837216117,-0.7377005456962986,[0.16268874 0.31197237]
[0.16360831 0.31370061],[0.91956935 1.72824296],0.001957659703332186,-0.7415314653516886,[0.16360831 0.31370061]
[0.16452721 0.31542746],[0.91890397 1.72684741],0.00195611514735369,-0.7453563423520533,[0.16452721 0.31542746]
[0.16544545 0.31715291],[0.91823821 1.72545344],0.0019545718146746108,-0.7491751862468357,[0.16544545 0.31715291]
[0.16636302 0.31887697],[0.91757207 1.72406106],0.0019530297041885337,-0.7529880065698399,[0.16636302 0.31887697]
[0.16727993 0.32059964],[0.91690557 1.72267024],0.0019514888147940692,-0.7567948128392734,[0.16727993 0.32059964]
[0.16819617 0.32232092],[0.91623873 1.721281  ],0.0019499491453948477,-0.7605956145577885,[0.16819617 0.32232092]
[0.16911174 0.32404082],[0.91557155 1.7198933 ],0.0019484106948991558,-0.7643904212125232,[0.16911174 0.32404082]
[0.17002664 0.32575932],[0.91490405 1.71850716],0.0019468734622199095,-0.7681792422751416,[0.17002664 0.32575932]
[0.17094088 0.32747645],[0.91423624 1.71712256],0.0019453374462747614,-0.7719620872018741,[0.17094088 0.32747645]
[0.17185445 0.32919218],[0.91356814 1.71573948],0.0019438026459856835,-0.7757389654335562,[0.17185445 0.32919218]
[0.17276735 0.33090654],[0.91289976 1.71435793],0.001942269060278897,-0.7795098863956675,[0.17276735 0.33090654]
[0.17367958 0.33261952],[0.91223111 1.7129779 ],0.0019407366880849846,-0.7832748594983701,[0.17367958 0.33261952]
[0.17459114 0.33433112],[0.91156221 1.71159938],0.0019392055283385511,-0.7870338941365458,[0.17459114 0.33433112]
[0.17550203 0.33604134],[0.91089306 1.71022235],0.0019376755799782933,-0.7907869996898345,[0.17550203 0.33604134]
[0.17641226 0.33775019],[0.91022367 1.70884682],0.0019361468419468236,-0.7945341855226702,[0.17641226 0.33775019]
[0.17732181 0.33945766],[0.90955407 1.70747278],0.0019346193131904933,-0.7982754609843178,[0.17732181 0.33945766]
[0.17823069 0.34116376],[0.90888426 1.70610021],0.0019330929926594928,-0.8020108354089092,[0.17823069 0.34116376]
[0.17913891 0.34286849],[0.90821425 1.70472911],0.001931567879307579,-0.8057403181154781,[0.17913891 0.34286849]
[0.18004645 0.34457185],[0.90754405 1.70335948],0.0019300439720921641,-0.8094639184079964,[0.18004645 0.34457185]
[0.18095333 0.34627384],[0.90687368 1.70199131],0.0019285212699740716,-0.813181645575408,[0.18095333 0.34627384]
[0.18185953 0.34797447],[0.90620314 1.70062459],0.001926999771917538,-0.8168935088916635,[0.18185953 0.34797447]
[0.18276506 0.34967373],[0.90553245 1.69925931],0.0019254794768900861,-0.8205995176157543,[0.18276506 0.34967373]
