xk,beta_k1,pk1,erro,f(min),gk1,pk,xk1,gk
[1.29383679 2.42600845],0.8305924237855201,[0.35291315 0.65591135],0.008170850452653736,-3.1638917691659874,[-0.03000919 -0.05898695],[0.35291315 0.65591135],[1.29383679 2.42600845],[-0.03000919 -0.05898695]
[1.29736593 2.43256757],0.8305248038727144,[0.32011742 0.59867593],0.007448270880687212,-3.1643626929477486,[-0.0270143  -0.05392528],[0.32011742 0.59867593],[1.29736593 2.43256757],[-0.0270143  -0.05392528]
[1.3005671  2.43855433],0.8303196223514036,[0.29032054 0.54627767],0.006788873497506459,-3.164753828405514,[-0.02452076 -0.04918529],[0.29032054 0.54627767],[1.3005671  2.43855433],[-0.02452076 -0.04918529]
[1.3034703 2.4440171],0.8300962673056954,[0.26345295 0.49821647],0.0061863179953107065,-3.1650786073943085,[-0.02245896 -0.04475342],[0.26345295 0.49821647],[1.3034703 2.4440171],[-0.02245896 -0.04475342]
[1.30610483 2.44899927],0.8299861215421098,[0.23939989 0.45414469],0.005635841636417194,-3.1653482106391087,[-0.02073759 -0.04063194],[0.23939989 0.45414469],[1.30610483 2.44899927],[-0.02073759 -0.04063194]
[1.30849883 2.45354071],0.8300525406871226,[0.21797277 0.4137941 ],0.005133806652444932,-3.165571980644202,[-0.01925829 -0.03683014],[0.21797277 0.4137941 ],[1.30849883 2.45354071],[-0.01925829 -0.03683014]
[1.31067856 2.45767866],0.8302521844375049,[0.19890157 0.3769102 ],0.004676940075309259,-3.1657577245407866,[-0.0179292  -0.03335674],[0.19890157 0.3769102 ],[1.31067856 2.45767866],[-0.0179292  -0.03335674]
[1.31266758 2.46144776],0.8304612530165117,[0.18185567 0.34322375],0.0042617265550975985,-3.165911942432358,[-0.01667562 -0.03021443],[0.18185567 0.34322375],[1.31266758 2.46144776],[-0.01667562 -0.03021443]
[1.31448613 2.46487999],0.8305506732563578,[0.16648672 0.31246154],0.003884250575761631,-3.1660400180137875,[-0.01544637 -0.02739682],[0.16648672 0.31246154],[1.31448613 2.46487999],[-0.01544637 -0.02739682]
[1.316151   2.46800461],0.8304644715913921,[0.15247696 0.28437577],0.0035404807345217055,-3.1661463939725447,[-0.01421565 -0.02488756],[0.15247696 0.28437577],[1.316151   2.46800461],[-0.01421565 -0.02488756]
[1.31767577 2.47084837],0.8302536990722114,[0.13957552 0.25876518],0.0032267444833064154,-3.1662347367698684,[-0.01298097 -0.02266115],[0.13957552 0.25876518],[1.31767577 2.47084837],[-0.01298097 -0.02266115]
[1.31907153 2.47343602],0.8300453464868313,[0.12761183 0.23547191],0.0029400807195364732,-3.1663080838771362,[-0.01175781 -0.02068507],[0.12761183 0.23547191],[1.31907153 2.47343602],[-0.01175781 -0.02068507]
[1.32034764 2.47579074],0.8299651384606083,[0.11648608 0.21435638],0.002678279270833125,-3.1663689649053524,[-0.01057271 -0.01892291],[0.11648608 0.21435638],[1.32034764 2.47579074],[-0.01057271 -0.01892291]
[1.3215125 2.4779343],0.830061077480279,[0.10614632 0.19526671],0.0024396242527431372,-3.1664194936832124,[-0.00945576 -0.01733782],[0.10614632 0.19526671],[1.3215125 2.4779343],[-0.00945576 -0.01733782]
[1.32257397 2.47988697],0.830274217208111,[0.09656476 0.17802084],0.002222523973154862,-3.1664614356736,[-0.00843421 -0.01589593],[0.09656476 0.17802084],[1.32257397 2.47988697],[-0.00843421 -0.01589593]
[1.32353962 2.48166718],0.8304744807193529,[0.08772225 0.16241074],0.00202524497469119,-3.166496259396326,[-0.00752769 -0.01456898],[0.08772225 0.16241074],[1.32353962 2.48166718],[-0.00752769 -0.01456898]
[1.32441684 2.48329129],0.830539733759028,[0.07960248 0.14822446],0.0018458722468252323,-3.1665251800952623,[-0.00674566 -0.01333588],[0.07960248 0.14822446],[1.32441684 2.48329129],[-0.00674566 -0.01333588]
[1.32521286 2.48477353],0.8304299931945923,[0.07219111 0.13527309],0.0016824697660613088,-3.1665492002407647,[-0.00608683 -0.01218306],[0.07219111 0.13527309],[1.32521286 2.48477353],[-0.00608683 -0.01218306]
[1.32593477 2.48612626],0.8302116838012302,[0.06547419 0.1234089 ],0.001533309060125631,-3.1665691473997897,[-0.00554028 -0.0111036 ],[0.06547419 0.1234089 ],[1.32593477 2.48612626],[-0.00554028 -0.0111036 ]
[1.32658952 2.48736035],0.8300172569922428,[0.05943262 0.11252721],0.0013970191891213848,-3.166585707668586,[-0.00508791 -0.01009569],[0.05943262 0.11252721],[1.32658952 2.48736035],[-0.00508791 -0.01009569]
[1.32718384 2.48848562],0.8299646985399197,[0.05403461 0.10255417],0.0012725804282567473,-3.16659945280689,[-0.00470763 -0.00916056],[0.05403461 0.10255417],[1.32718384 2.48848562],[-0.00470763 -0.00916056]
[1.32772419 2.48951116],0.8300857984757951,[0.04923009 0.09342924],0.0011591849570452256,-3.166610860665968,[-0.00437673 -0.00830047],[0.04923009 0.09342924],[1.32772419 2.48951116],[-0.00437673 -0.00830047]
[1.32821649 2.49044546],0.8303068040885493,[0.04495095 0.08509204],0.0010560598408814034,-3.166620330153371,[-0.00407487 -0.00751711],[0.04495095 0.08509204],[1.32821649 2.49044546],[-0.00407487 -0.00751711]
