x_1	x_2	x_3	x_4	f(x)	erro
-1.790945754290334	-1.4001897887760764	-2.371440093142721	-1.668189575945191	167.71121054855354	12150.991653738078
-1.78987490040892	-1.4001069281669356	-2.388063831531441	-1.6590651726930623	168.3029454452972	0.5917649217881262
-1.7895129285506017	-1.4000686950246826	-2.3935901606547088	-1.6560239295467467	168.49981531617055	0.19677861779928207
-1.7893903713185715	-1.4000579082695566	-2.3954327257885604	-1.6550081176949722	168.56549588103272	0.0657129306346178
-1.789351615411603	-1.4000532410967188	-2.396046819641115	-1.6546694662226757	168.5873991943028	0.021892718970775604
-1.7893405699562863	-1.4000494056134434	-2.3962538721919464	-1.6545555521604676	168.59478150701105	0.007260873913764954
-1.789335397340221	-1.4000508366805449	-2.396316504576033	-1.654521382009796	168.5970161782759	0.0022301077842712402
-1.7893311307212345	-1.4000521927380498	-2.396341575773328	-1.6545057519069968	168.59791809541235	0.0010077953338623047
-1.7893328386310452	-1.4000526867348548	-2.396349497067127	-1.654505439906812	168.5981820924349	0.00016832351684570312
-1.7893328386310452	-1.4000526867348548	-2.396349497616537	-1.654505439906812	168.59818210923885	0.0
