xk,yk,erro,rho_k,direcao_descida_1,direcao_descida_2,f(min),Hk1,sk,Hk,direcao_descida_1_1,xk1
[-0.93787673  1.41303603],[-0.00745652  0.00496814],0.010687391166437545,11169.78668688269,[ 0.07456515 -0.04968139],[-0.06212327  0.08696397],-1.2455236387764936,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00621233  0.0086964 ],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.06710864 -0.04471325],[-0.94408905  1.42173243]
[-0.94408905  1.42173243],[-0.00671086  0.00447133],0.009618652049793737,13789.860107262692,[ 0.06710864 -0.04471325],[-0.05591095  0.07826757],-1.2463741474089596,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00559109  0.00782676],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.06039777 -0.04024193],[-0.94968015  1.42955918]
[-0.94968015  1.42955918],[-0.00603978  0.00402419],0.008656786844814385,17024.518650941634,[ 0.06039777 -0.04024193],[-0.05031985  0.07044082],-1.2470630594012575,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00503199  0.00704408],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.054358   -0.03621774],[-0.95471213  1.43660327]
[-0.95471213  1.43660327],[-0.0054358   0.00362177],0.007791108160332977,21017.924260421685,[ 0.054358   -0.03621774],[-0.04528787  0.06339673],-1.247621078115018,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00452879  0.00633967],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.0489222  -0.03259596],[-0.95924092  1.44294294]
[-0.95924092  1.44294294],[-0.00489222  0.0032596 ],0.007011997344299624,25948.054642496198,[ 0.0489222  -0.03259596],[-0.04075908  0.05705706],-1.248073073273165,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00407591  0.00570571],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.04402998 -0.02933637],[-0.96331683  1.44864865]
[-0.96331683  1.44864865],[-0.004403    0.00293364],0.006310797609869652,32034.635361106284,[ 0.04402998 -0.02933637],[-0.03668317  0.05135135],-1.2484391893512639,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00366832  0.00513514],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.03962698 -0.02640273],[-0.96698515  1.45378378]
[-0.96698515  1.45378378],[-0.0039627   0.00264027],0.005679717848882736,39548.93254457502,[ 0.03962698 -0.02640273],[-0.03301485  0.04621622],-1.2487357433745236,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00330149  0.00462162],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.03566428 -0.02376246],[-0.97028663  1.4584054 ]
[-0.97028663  1.4584054 ],[-0.00356643  0.00237625],0.005111746063994435,48825.842647624544,[ 0.03566428 -0.02376246],[-0.02971337  0.0415946 ],-1.2489759521333643,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00297134  0.00415946],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.03209785 -0.02138621],[-0.97325797  1.46256486]
[-0.97325797  1.46256486],[-0.00320979  0.00213862],0.00460057145759504,60278.81808348589,[ 0.03209785 -0.02138621],[-0.02674203  0.03743514],-1.249170521228025,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.0026742   0.00374351],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.02888807 -0.01924759],[-0.97593217  1.46630838]
[-0.97593217  1.46630838],[-0.00288881  0.00192476],0.004140514311835586,74418.29393022784,[ 0.02888807 -0.01924759],[-0.02406783  0.03369162],-1.2493281221947004,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00240678  0.00336916],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.02599926 -0.01732283],[-0.97833895  1.46967754]
[-0.97833895  1.46967754],[-0.00259993  0.00173228],0.0037264628806520515,91874.43695089742,[ 0.02599926 -0.01732283],[-0.02166105  0.03032246],-1.2494557789777074,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.0021661   0.00303225],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.02339933 -0.01559055],[-0.98050506  1.47270978]
[-0.98050506  1.47270978],[-0.00233993  0.00155905],0.0033538165925867214,113425.2308035822,[ 0.02339933 -0.01559055],[-0.01949494  0.02729022],-1.2495591809719429,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00194949  0.00272902],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.0210594  -0.01403149],[-0.98245455  1.47543881]
[-0.98245455  1.47543881],[-0.00210594  0.00140315],0.0030184349333281083,140031.14914022188,[ 0.0210594  -0.01403149],[-0.01754545  0.02456119],-1.2496429365872737,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00175454  0.00245612],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.01895346 -0.01262834],[-0.9842091   1.47789493]
[-0.9842091   1.47789493],[-0.00189535  0.00126283],0.002716591439995357,172877.9619015043,[ 0.01895346 -0.01262834],[-0.0157909   0.02210507],-1.2497107786356918,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00157909  0.00221051],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.01705811 -0.01136551],[-0.98578819  1.48010543]
[-0.98578819  1.48010543],[-0.00170581  0.00113655],0.002444932295995821,213429.58259444978,[ 0.01705811 -0.01136551],[-0.01421181  0.01989457],-1.24976573069491,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00142118  0.00198946],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.0153523  -0.01022896],[-0.98720937  1.48209489]
[-0.98720937  1.48209489],[-0.00153523  0.0010229 ],0.0022004390663960685,263493.3118450344,[ 0.0153523  -0.01022896],[-0.01279063  0.01790511],-1.2498102418628774,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00127906  0.00179051],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.01381707 -0.00920606],[-0.98848843  1.4838854 ]
[-0.98848843  1.4838854 ],[-0.00138171  0.00092061],0.0019803951597566153,325300.3849938209,[ 0.01381707 -0.00920606],[-0.01151157  0.0161146 ],-1.2498462959089305,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00115116  0.00161146],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.01243537 -0.00828546],[-0.98963959  1.48549686]
[-0.98963959  1.48549686],[-0.00124354  0.00082855],0.0017823556437808197,401605.4135726718,[ 0.01243537 -0.00828546],[-0.01036041  0.01450314],-1.2498754996862336,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00103604  0.00145031],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.01119183 -0.00745691],[-0.99067563  1.48694717]
[-0.99067563  1.48694717],[-0.00111918  0.00074569],0.0016041200794028358,495809.1525587971,[ 0.01119183 -0.00745691],[-0.00932437  0.01305283],-1.2498991547458491,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00093244  0.00130528],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.01007265 -0.00671122],[-0.99160807  1.48825246]
[-0.99160807  1.48825246],[-0.00100726  0.00067112],0.0014437080714624411,612110.0648874987,[ 0.01007265 -0.00671122],[-0.00839193  0.01174754],-1.249918315344138,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00083919  0.00117475],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.00906538 -0.0060401 ],[-0.99244726  1.48942721]
[-0.99244726  1.48942721],[-0.00090654  0.00060401],0.0012993372643163533,755691.4381325882,[ 0.00906538 -0.0060401 ],[-0.00755274  0.01057279],-1.2499338354287515,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00075527  0.00105728],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.00815884 -0.00543609],[-0.99320253  1.49048449]
[-0.99320253  1.49048449],[-0.00081588  0.00054361],0.001169403537884625,932952.3927563238,[ 0.00815884 -0.00543609],[-0.00679747  0.00951551],-1.2499464066972892,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00067975  0.00095155],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.00734296 -0.00489248],[-0.99388228  1.49143604]
[-0.99388228  1.49143604],[-0.0007343   0.00048925],0.0010524631840961728,1151793.0774769718,[ 0.00734296 -0.00489248],[-0.00611772  0.00856396],-1.2499565894248037,"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[-0.00061177  0.0008564 ],"[[ 0.50972426 -0.48540518]
 [-0.48540518  1.02190488]]",[ 0.00660866 -0.00440323],[-0.99449405  1.49229244]
